Player,Team,Position,Experience,Salary
Corey Hart,Milwaukee Brewers,Outfielder,17,6833333
Corey Patterson,Toronto Blue Jays,Outfielder,14,900000
Cory Luebke,San Diego Padres,Pitcher,7,415600
Craig Breslow,Oakland Athletics,Pitcher,7,1400000
Craig Counsell,Milwaukee Brewers,Second Baseman,11,1400000
Craig Kimbrel,Atlanta Braves,Pitcher,9,419000
Cristhian Martinez,Atlanta Braves,Pitcher,9,419000
Curtis Granderson,New York Yankees,Outfielder,8,8250000
D.J. Carrasco,New York Mets,Pitcher,3,1200000
Daisuke Matsuzaka,Boston Red Sox,Pitcher,14,10333333
Dallas Braden,Oakland Athletics,Pitcher,25,3350000
Damaso Marte,New York Yankees,Pitcher,13,4000000
Dan Haren,Los Angeles Angels,Pitcher,15,12750000
Dan Hudson,Arizona Diamondbacks,Pitcher,11,419000
Dan Johnson,Tampa Bay Rays,First Baseman,6,1000000
Dan Runzler,San Francisco Giants,Pitcher,27,418500
Dan Uggla,Atlanta Braves,Second Baseman,11,9146942
Dan Wheeler,Boston Red Sox,Pitcher,8,3000000
Daniel Bard,Boston Red Sox,Pitcher,5,505000
Daniel Descalso,St. Louis Cardinals,Second Baseman,5,414000
Daniel Murphy,New York Mets,Second Baseman,4,422000
Daniel Schlereth,Detroit Tigers,Pitcher,9,418000
Danny Espinosa,Washington Nationals,Shortstop,17,415000
Danny Valencia,Minnesota Twins,Third Baseman,2,437500
Danys Baez,Philadelphia Phillies,Pitcher,24,2750000
Daric Barton,Oakland Athletics,First Baseman,11,425000
Darnell McDonald,Boston Red Sox,Outfielder,27,470000
Darren O'Day,Texas Rangers,Pitcher,7,1251000
Darren Oliver,Texas Rangers,Pitcher,8,3250000
Darwin Barney,Chicago Cubs,Shortstop,6,417000
Dave Bush,Texas Rangers,Pitcher,11,1000000
David Aardsma,Seattle Mariners,Pitcher,17,4500000
David DeJesus,Oakland Athletics,Outfielder,6,6000000
David Freese,St. Louis Cardinals,Third Baseman,20,416000
David Herndon,Philadelphia Phillies,Pitcher,3,425000
David J. Hernandez,Arizona Diamondbacks,Pitcher,3,423500
David Murphy,Texas Rangers,Outfielder,9,2400000
David Ortiz,Boston Red Sox,Designated Hitter,23,12500000
David Pauley,Seattle Mariners,Pitcher,8,422000
David Price,Tampa Bay Rays,Pitcher,10,2084671
David Purcey,Toronto Blue Jays,Pitcher,21,436400
David Robertson,New York Yankees,Pitcher,4,460450
David Ross,Atlanta Braves,Catcher,19,1625000
David Wright,New York Mets,Third Baseman,16,14250000
Dayan Viciedo,Chicago White Sox,Third Baseman,19,2250000
Delmon Young,Minnesota Twins,Outfielder,13,5375000
Denard Span,Minnesota Twins,Outfielder,7,1000000
Dennys Reyes,Boston Red Sox,Pitcher,14,900000
Derek Holland,Texas Rangers,Pitcher,17,431810
Derek Jeter,New York Yankees,Shortstop,10,14729364
Derek Lowe,Atlanta Braves,Pitcher,30,15000000
Derrek Lee,Baltimore Orioles,First Baseman,2,7250000
Dexter Fowler,Colorado Rockies,Outfielder,7,424000
Dioner Navarro,Los Angeles Dodgers,Catcher,18,1000000
Domonic Brown,Philadelphia Phillies,Outfielder,5,414000
Don Kelly,Detroit Tigers,Outfielder,38,423000
Donnie Murphy,Miami Marlins,Third Baseman,5,425000
Doug Fister,Seattle Mariners,Pitcher,5,436500
Doug Slaten,Washington Nationals,Pitcher,4,695000
Drew Butera,Minnesota Twins,Catcher,16,429000
Drew Storen,Washington Nationals,Pitcher,10,418000
Drew Stubbs,Cincinnati Reds,Outfielder,6,450000
Dustin McGowan,Toronto Blue Jays,Pitcher,9,450000
Dustin Moseley,San Diego Padres,Pitcher,6,900000
Dustin Pedroia,Boston Red Sox,Second Baseman,30,5750000
Dusty Hughes,Minnesota Twins,Pitcher,8,429000
Edgar Renteria,Cincinnati Reds,Shortstop,11,2068391
Edinson Volquez,Cincinnati Reds,Pitcher,11,1625000
Eduardo Nunez,New York Yankees,Shortstop,13,419300
Edward Mujica,Miami Marlins,Pitcher,24,800000
Edwin Encarnacion,Toronto Blue Jays,Third Baseman,6,2500000
Edwin Jackson,Chicago White Sox,Pitcher,32,8750000
Eli Whiteside,San Francisco Giants,Catcher,4,425000
Elliot Johnson,Tampa Bay Rays,Second Baseman,5,414900
Elvin Ramirez,Washington Nationals,Pitcher,16,414000
Elvis Andrus,Texas Rangers,Shortstop,10,452180
Emilio Bonifacio,Miami Marlins,Third Baseman,14,425000
Enerio Del Rosario,Houston Astros,Pitcher,13,417000
Enrique Gonzalez,Detroit Tigers,Pitcher,6,435000
Eric Chavez,New York Yankees,Third Baseman,11,1500000
Eric Hinske,Atlanta Braves,Outfielder,19,1350000
Eric O'Flaherty,Atlanta Braves,Pitcher,15,895000
Eric Patterson,San Diego Padres,Second Baseman,10,423300
Erick Almonte,Milwaukee Brewers,Infielder,7,414000
